Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,4,1309,1245,1659,1711,1752,985,1762,0.0,False
jmeter_view_page:open_page,13,680,466,894,1542,2280,334,2465,0.0,False
jmeter_view_dashboard,2,726,726,726,726,726,725,726,0.0,False
jmeter_view_blog,3,778,625,1020,1070,1109,589,1119,0.0,False
jmeter_comment_page,1,1936,1936,1936,1936,1936,1936,1936,0.0,False
jmeter_create_and_edit_page:create_page_editor,2,624,624,897,931,958,282,965,0.0,False
jmeter_search_cql:recently_viewed,3,190,22,428,478,519,20,529,0.0,False
jmeter_upload_attachment,1,1504,1504,1504,1504,1504,1504,1504,0.0,False
jmeter_search_cql:search_results,3,425,373,551,573,591,307,595,0.0,False
jmeter_view_attachment,1,372,372,372,372,372,372,372,0.0,False
jmeter_create_and_edit_page:create_page,2,1022,1022,1391,1437,1474,560,1483,0.0,False
jmeter_create_and_edit_page:open_editor,2,118,118,120,121,121,116,121,0.0,False
jmeter_create_blog:blog_editor,1,364,364,364,364,364,364,364,0.0,False
jmeter_create_blog:feel_and_publish,1,608,608,608,608,608,608,608,0.0,False
selenium_login:open_login_page,30,176,140,184,194,743,122,965,0.0,False
selenium_login:login_and_view_dashboard,30,366,317,402,482,1130,288,1369,0.0,False
selenium_login,30,617,540,632,729,1939,484,2416,0.0,False
selenium_view_page,30,631,572,939,1018,1121,369,1140,0.0,False
selenium_log_out,30,170,152,232,247,331,128,363,0.0,False
